tile,count,mean_error_px,median_error_px,rmse_px,mean_error_m,median_error_m,rmse_m
pa_m_4007764_nw_18_060_20220629.tif,21.0,3247.3455677920774,3247.306922092769,3247.3455881570717,1948.4073406752466,1948.3841532556614,1948.407352894243
pa_m_4007764_sw_18_060_20220510.tif,34.0,3249.08998369954,3248.8863501696396,3249.0900782417443,1949.4539902197237,1949.331810101784,1949.4540469450467
pa_m_3907604_ne_18_060_20220711.tif,11.0,3249.653305535512,3249.63518311578,3249.6533245319874,1949.7919833213075,1949.7811098694676,1949.7919947191924
pa_m_4007628_se_18_060_20220711.tif,2.0,3234.416741610334,3234.416741610334,3234.416777524379,1940.6500449662005,1940.6500449662005,1940.6500665146277
pa_m_4007636_ne_18_060_20220711.tif,12.0,3235.9081041845616,3235.8084086596045,3235.9081532029836,1941.5448625107365,1941.4850451957627,1941.5448919217904
pa_m_4007636_se_18_060_20220711.tif,29.0,3237.4982954011143,3237.5163477423644,3237.4983386558188,1942.4989772406682,1942.5098086454184,1942.4990031934913
pa_m_4007644_ne_18_060_20220711.tif,21.0,3239.7289164387316,3239.764456669233,3239.72894084752,1943.8373498632388,1943.8586740015396,1943.8373645085123
pa_m_4007644_se_18_060_20220711.tif,27.0,3241.280471609565,3241.30429408152,3241.280526898397,1944.768282965739,1944.7825764489116,1944.7683161390382
pa_m_4007652_ne_18_060_20220711.tif,16.0,3243.2553690675486,3243.3545371498167,3243.255434366852,1945.953221440529,1946.01272228989,1945.9532606201115
pa_m_4007652_se_18_060_20220711.tif,28.0,3245.0391535773983,3245.130706447993,3245.0392324156724,1947.0234921464391,1947.0784238687957,1947.0235394494032
pa_m_4007660_ne_18_060_20220711.tif,37.0,3246.614927405775,3246.5050500626007,3246.615007929088,1947.9689564434645,1947.9030300375603,1947.9690047574527
pa_m_4007660_se_18_060_20220711.tif,21.0,3248.5845526375583,3248.4143426545434,3248.58466478462,1949.1507315825345,1949.0486055927258,1949.1507988707722
pa_m_4007657_se_18_060_20220510.tif,48.0,3248.989894178156,3248.985877394496,3248.9899462549674,1949.3939365068934,1949.3915264366979,1949.3939677529804
pa_m_4007657_sw_18_060_20220510.tif,32.0,3249.1202833356774,3249.2695620371787,3249.120370239384,1949.4721700014065,1949.5617372223073,1949.4722221436305
pa_m_4007739_ne_18_060_20220510.tif,12.0,3236.2812434152506,3236.2420717742575,3236.281279669191,1941.76874604915,1941.7452430645544,1941.7687678015145
pa_m_4007739_se_18_060_20220510.tif,14.0,3237.9373841063025,3237.755819056837,3237.9374650215,1942.7624304637814,1942.653491434102,1942.7624790129003
pa_m_4007740_ne_18_060_20220510.tif,10.0,3236.124089270751,3236.165935909508,3236.1241753064537,1941.6744535624507,1941.6995615457047,1941.6745051838723
pa_m_4007740_nw_18_060_20220510.tif,14.0,3236.3616742833447,3236.217078813543,3236.3617348087473,1941.8170045700067,1941.7302472881258,1941.817040885248
pa_m_4007740_se_18_060_20220510.tif,16.0,3237.722588713733,3237.6416189207102,3237.7226368280717,1942.6335532282399,1942.5849713524258,1942.6335820968432
pa_m_4007740_sw_18_060_20220510.tif,13.0,3238.3607522884713,3238.392845556234,3238.3608266217666,1943.0164513730829,1943.0357073337404,1943.01649597306
pa_m_4007747_ne_18_060_20220510.tif,18.0,3240.3442469919437,3240.543739833468,3240.3443295032853,1944.206548195166,1944.3262439000807,1944.206597701971
pa_m_4007747_se_18_060_20220510.tif,20.0,3241.8660369144445,3241.7893070823293,3241.8660848428967,1945.1196221486673,1945.0735842493973,1945.119650905738
pa_m_4007748_ne_18_060_20220510.tif,6.0,3239.7816709600484,3239.691131879648,3239.7817122978945,1943.869002576029,1943.8146791277886,1943.8690273787367
pa_m_4007748_nw_18_060_20220510.tif,13.0,3239.874459574848,3239.5869933514227,3239.874536965039,1943.9246757449087,1943.7521960108536,1943.9247221790235
pa_m_4007748_se_18_060_20220510.tif,20.0,3242.0409766759867,3242.065954692255,3242.0410453794834,1945.2245860055918,1945.2395728153529,1945.22462722769
pa_m_4007748_sw_18_060_20220510.tif,26.0,3242.0986882678562,3242.0054342933363,3242.098728857053,1945.2592129607133,1945.2032605760016,1945.2592373142322
pa_m_4007755_ne_18_060_20220510.tif,41.0,3243.868371112304,3243.850036398376,3243.868420242708,1946.3210226673823,1946.3100218390255,1946.321052145625
pa_m_4007755_se_18_060_20220510.tif,29.0,3245.454147216979,3245.459013309333,3245.4542150973575,1947.2724883301873,1947.2754079856,1947.2725290584142
pa_m_4007756_ne_18_060_20220510.tif,46.0,3243.554733793814,3243.6218857792537,3243.5548057552987,1946.132840276288,1946.1731314675524,1946.1328834531794
pa_m_4007756_nw_18_060_20220510.tif,40.0,3243.5059266712847,3243.2666500486603,3243.505985032471,1946.103556002771,1945.959990029196,1946.1035910194828
pa_m_4007756_se_18_060_20220510.tif,44.0,3245.4244802940752,3245.270856886943,3245.4245683240415,1947.254688176445,1947.162514132166,1947.254740994425
