metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,confidence_threshold,iou_threshold
0.0,0.0,0.0,0.0,0.0,0.45,0.5
0.0,0.0,0.0,0.0,0.0,0.45,0.55
0.0,0.0,0.0,0.0,0.0,0.45,0.6
0.0,0.0,0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,0.0,0.5,0.55
0.0,0.0,0.0,0.0,0.0,0.5,0.6
0.0,0.0,0.0,0.0,0.0,0.55,0.5
0.0,0.0,0.0,0.0,0.0,0.55,0.55
0.0,0.0,0.0,0.0,0.0,0.55,0.6
0.0,0.0,0.0,0.0,0.0,0.6,0.5
0.0,0.0,0.0,0.0,0.0,0.6,0.55
0.0,0.0,0.0,0.0,0.0,0.6,0.6
0.0,0.0,0.0,0.0,0.0,0.65,0.5
0.0,0.0,0.0,0.0,0.0,0.65,0.55
0.0,0.0,0.0,0.0,0.0,0.65,0.6
0.0,0.0,0.0,0.0,0.0,0.7,0.5
0.0,0.0,0.0,0.0,0.0,0.7,0.55
0.0,0.0,0.0,0.0,0.0,0.7,0.6
