pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-1916074349,40.2247665,-76.8212681,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8212681 40.2247665),860.0080374988545,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-1916074352,40.2256239,-76.8205451,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8205451 40.2256239),779.2787338366973,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-1916074353,40.2265179,-76.8197425,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8197425 40.2265179),700.5939716101507,False,AI_DET_pa_m_4007650_nw_18_060_20220704_29,0.0944500863552093
OSM-1916074354,40.2268309,-76.8187975,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8187975 40.2268309),619.0622584883807,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074356,40.2274554,-76.8168767,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8168767 40.2274554),460.0126429769383,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074359,40.2282723,-76.8144801,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8144801 40.2282723),295.24508604034514,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074361,40.2293102,-76.8114564,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8114564 40.2293102),269.7574070330723,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074365,40.2299296,-76.8096102,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8096102 40.2299296),375.5900618339234,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074368,40.2304603,-76.8080753,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8080753 40.2304603),493.9832671300969,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
OSM-1916074391,40.2309893,-76.8064702,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8064702 40.2309893),626.869784299968,False,AI_DET_pa_m_4007650_nw_18_060_20220704_30,0.0868516117334365
