pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-1916074349,40.2247665,-76.8212681,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8212681 40.2247665),844.5602977231254,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074352,40.2256239,-76.8205451,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8205451 40.2256239),847.108580584936,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074353,40.2265179,-76.8197425,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8197425 40.2265179),869.6078089321707,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074354,40.2268309,-76.8187975,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8187975 40.2268309),935.3829538342555,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074356,40.2274554,-76.8168767,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8168767 40.2274554),851.9016336242989,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074359,40.2282723,-76.8144801,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8144801 40.2282723),630.3204400538739,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074361,40.2293102,-76.8114564,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8114564 40.2293102),353.566509807183,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074365,40.2299296,-76.8096102,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8096102 40.2299296),192.05415949405844,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074368,40.2304603,-76.8080753,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8080753 40.2304603),92.97598282551104,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074391,40.2309893,-76.8064702,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8064702 40.2309893),149.2865373912043,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074396,40.231249,-76.8038221,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8038221 40.231249),339.61954427010926,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074400,40.2322493,-76.7998094,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7998094 40.2322493),696.2207818374067,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
