pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-1916074349,40.2247665,-76.8212681,PA,verified,2024-01-01,OpenStreetMap,portal,,,,,POINT (-76.8212681 40.2247665),375.7545234833964,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074352,40.2256239,-76.8205451,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8205451 40.2256239),415.0074267387835,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074353,40.2265179,-76.8197425,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8197425 40.2265179),485.73412926438505,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074354,40.2268309,-76.8187975,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8187975 40.2268309),570.471379926617,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074356,40.2274554,-76.8168767,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8168767 40.2274554),744.4647467538307,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-1916074359,40.2282723,-76.8144801,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8144801 40.2282723),960.4468874947729,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074361,40.2293102,-76.8114564,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8114564 40.2293102),748.0044009142516,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074365,40.2299296,-76.8096102,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8096102 40.2299296),644.130360467656,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074368,40.2304603,-76.8080753,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8080753 40.2304603),583.9168698890185,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074391,40.2309893,-76.8064702,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8064702 40.2309893),552.0379424862394,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074396,40.231249,-76.8038221,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8038221 40.231249),516.5838908979981,False,AI_DET_pa_m_4007650_ne_18_060_20220704_22,0.0877284705638885
OSM-1916074400,40.2322493,-76.7998094,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7998094 40.2322493),691.7030197003306,False,AI_DET_pa_m_4007650_ne_18_060_20220704_21,0.0858360901474952
OSM-1916074403,40.2325805,-76.7984172,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7984172 40.2325805),718.9305542195775,False,AI_DET_pa_m_4007650_ne_18_060_20220704_21,0.0858360901474952
OSM-1916074404,40.2331269,-76.7962971,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7962971 40.2331269),793.4056982716322,False,AI_DET_pa_m_4007650_ne_18_060_20220704_21,0.0858360901474952
OSM-1916074405,40.2332381,-76.7935794,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7935794 40.2332381),971.2048084195683,False,AI_DET_pa_m_4007650_ne_18_060_20220704_21,0.0858360901474952
OSM-1916074406,40.2332798,-76.7922024,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7922024 40.2332798),1069.9586091017577,False,AI_DET_pa_m_4007650_ne_18_060_20220704_21,0.0858360901474952
OSM-1916074407,40.2340323,-76.789321,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.789321 40.2340323),1186.3325892546022,False,AI_DET_pa_m_4007650_ne_18_060_20220704_20,0.0822373181581497
OSM-1916074408,40.2344699,-76.7876437,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7876437 40.2344699),1271.4937774192745,False,AI_DET_pa_m_4007650_ne_18_060_20220704_20,0.0822373181581497
OSM-1916074410,40.2350256,-76.785466,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.785466 40.2350256),1399.307289013555,False,AI_DET_pa_m_4007650_ne_18_060_20220704_20,0.0822373181581497
OSM-1916074412,40.2355697,-76.7833701,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7833701 40.2355697),1485.9162201796667,False,AI_DET_pa_m_4007651_nw_18_060_20220704_66,0.0818631276488304
OSM-1916074416,40.2361324,-76.7812227,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.7812227 40.2361324),1295.7756651995637,False,AI_DET_pa_m_4007651_nw_18_060_20220704_66,0.0818631276488304
