epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2505,3.05841,5.34925,1.44141,0.01556,0.70933,0.04856,0.02219,2.18617,2.97654,1.01105,0.0801667,6.96602e-05,6.96602e-05
2,168.616,2.63885,3.68962,1.23174,0.03184,0.282,0.04294,0.01037,2.82684,4.24674,1.14871,0.0602367,0.000139653,0.000139653
3,251.389,2.61209,3.46247,1.20998,0.17093,0.17354,0.11905,0.03563,2.33874,3.12071,0.96923,0.0403067,0.000209618,0.000209618
4,335.295,2.52634,3.33707,1.20165,0.00414,0.60738,0.00704,0.00349,2.13214,3.74252,0.9987,0.0203766,0.000279533,0.000279533
5,418.669,2.51193,3.32955,1.19599,0.2769,0.1128,0.09911,0.04709,2.24762,3.93565,1.01041,0.000446465,0.000349378,0.000349378
6,501.515,2.43778,3.22151,1.16671,0.23161,0.13862,0.10546,0.04034,2.23799,4.11653,1.0315,0.000349559,0.000349559,0.000349559
7,583.8,2.40203,3.1253,1.16113,0.17812,0.15401,0.14182,0.05242,2.07643,4.13823,0.98101,0.000349364,0.000349364,0.000349364
8,667.467,2.3472,3.02586,1.15247,0.24905,0.18221,0.14508,0.04867,2.17026,4.67809,0.99953,0.000349135,0.000349135,0.000349135
9,750.056,2.3524,3.0403,1.15255,0.2381,0.13883,0.11562,0.03895,2.02438,4.16373,0.96298,0.000348871,0.000348871,0.000348871
10,833.007,2.32132,3.02517,1.13777,0.29331,0.14534,0.15347,0.05974,2.12579,4.05883,0.95867,0.000348571,0.000348571,0.000348571
11,916.206,2.2427,2.84236,1.11706,0.16136,0.42299,0.21571,0.06126,2.45174,4.37445,1.00713,0.000348237,0.000348237,0.000348237
12,999.038,2.2663,2.86925,1.11513,0.33507,0.15401,0.16376,0.05389,2.43195,3.17277,0.99728,0.000347867,0.000347867,0.000347867
13,1082.43,2.21204,2.75232,1.11057,0.29661,0.06725,0.07246,0.02891,2.03128,4.26653,0.93188,0.000347463,0.000347463,0.000347463
14,1165.01,2.16302,2.68361,1.0984,0.27247,0.17787,0.20766,0.09072,1.68041,3.24082,0.8685,0.000347023,0.000347023,0.000347023
15,1247.61,2.1334,2.58946,1.08929,0.50964,0.08894,0.16064,0.03492,2.31921,3.13615,0.99511,0.000346549,0.000346549,0.000346549
16,1330.57,2.1462,2.63102,1.09012,0.33194,0.20155,0.33204,0.16946,1.88373,2.82584,0.83782,0.000346041,0.000346041,0.000346041
17,1414.42,2.09627,2.55895,1.08151,0.45057,0.40998,0.4829,0.21211,1.80218,3.34036,0.84021,0.000345498,0.000345498,0.000345498
18,1497.61,2.10598,2.51887,1.07494,0.44106,0.58785,0.49876,0.24425,1.56581,3.33737,0.84063,0.00034492,0.00034492,0.00034492
19,1580.32,2.035,2.43489,1.06312,0.64224,0.32321,0.5972,0.31228,1.80781,2.58425,0.85794,0.000344308,0.000344308,0.000344308
20,1662.75,2.02546,2.43421,1.05976,0.36718,0.24512,0.36835,0.17158,1.76434,3.34618,0.85364,0.000343662,0.000343662,0.000343662
21,1745.39,2.04463,2.42612,1.06209,0.4073,0.1692,0.23378,0.09777,1.59544,5.17965,0.83211,0.000342982,0.000342982,0.000342982
22,1828.09,2.05674,2.46334,1.07086,0.35703,0.33623,0.38709,0.16712,1.89482,3.02965,0.87784,0.000342268,0.000342268,0.000342268
23,1912.46,2.0119,2.39672,1.05308,0.38679,0.27332,0.37969,0.18185,1.96768,4.03297,0.85416,0.000341521,0.000341521,0.000341521
24,1994.69,1.96405,2.29377,1.04164,0.4451,0.7744,0.61746,0.28135,1.8553,3.41939,0.8029,0.000340739,0.000340739,0.000340739
25,2076.88,1.99835,2.36132,1.05225,0.39041,0.29284,0.39061,0.18337,1.85073,3.34398,0.82217,0.000339925,0.000339925,0.000339925
26,2158.58,1.98897,2.35886,1.04971,0.53377,0.68764,0.60603,0.33061,1.38809,4.46809,0.76505,0.000339077,0.000339077,0.000339077
27,2241.61,1.9997,2.41114,1.05483,0.30175,0.18221,0.21182,0.11281,1.62678,3.43155,0.84619,0.000338195,0.000338195,0.000338195
28,2324.4,1.94069,2.33862,1.0391,0.55494,0.29501,0.49815,0.23773,1.66025,3.01557,0.83179,0.000337281,0.000337281,0.000337281
29,2407.65,1.96424,2.31451,1.04109,0.48824,0.61605,0.55068,0.20379,2.17412,3.61902,0.89373,0.000336335,0.000336335,0.000336335
30,2490.44,1.89448,2.2238,1.02786,0.2676,0.47072,0.37317,0.22127,1.41144,3.54565,0.78522,0.000335355,0.000335355,0.000335355
31,2573.07,1.93986,2.28776,1.04066,0.2795,0.48156,0.41444,0.21587,1.81433,3.16449,0.83802,0.000334344,0.000334344,0.000334344
32,2655.75,1.85871,2.19207,1.01805,0.53172,0.13232,0.17115,0.05321,1.86215,3.65053,0.8843,0.0003333,0.0003333,0.0003333
33,2737.92,1.8524,2.14106,1.0175,0.44482,0.27287,0.37603,0.18012,1.75809,2.69578,0.84422,0.000332224,0.000332224,0.000332224
